classe,job_base,capitulo,regiao,nivel_entra,nivel_sai,segundos_simulados,mortes,kills_farm,monstros_hp_negativo,pior_dano_sobre_regen,parede
Guerreiro,recruta,1,"Campos ao Redor de Aurelis",1,3,66,2,0,11,19.383,0
Guerreiro,recruta,2,"Esgotos de Aurelis",3,9,235,6,43,49,21.199,0
Guerreiro,recruta,3,"Florestas de Sylmere",9,16,557,5,85,91,20.997,0
Guerreiro,recruta,4,"Torre Arcana",16,20,442,3,56,62,18.353,0
Guerreiro,recruta,5,"Colinas de Kaeshin",20,24,526,2,68,73,16.639,0
Guerreiro,recruta,6,"Caverna de Kaeshin",24,28,608,2,79,84,17.291,0
Guerreiro,recruta,7,"Dunas de Zahkar",28,34,1031,2,145,150,16.955,0
Guerreiro,recruta,8,"Pirâmide Esquecida",34,40,1190,2,169,174,17.805,0
Guerreiro,recruta,9,"Costa de Ventomar",40,49,2027,2,312,317,18.375,0
Guerreiro,recruta,10,"Navio Naufragado",49,49,29,1,0,4,16.963,0
Arcanista,aprendiz,1,"Campos ao Redor de Aurelis",1,3,72,4,0,11,21.017,0
Arcanista,aprendiz,2,"Esgotos de Aurelis",3,10,292,7,61,67,24.214,0
Arcanista,aprendiz,3,"Florestas de Sylmere",10,17,546,5,97,103,24.066,0
Arcanista,aprendiz,4,"Torre Arcana",17,22,542,4,85,91,23.118,0
Arcanista,aprendiz,5,"Colinas de Kaeshin",22,27,651,2,106,111,20.794,0
Arcanista,aprendiz,6,"Caverna de Kaeshin",27,32,773,2,128,133,21.326,0
Arcanista,aprendiz,7,"Dunas de Zahkar",32,40,1453,2,261,266,20.742,0
Arcanista,aprendiz,8,"Pirâmide Esquecida",40,47,1504,2,271,276,21.201,0
Arcanista,aprendiz,9,"Costa de Ventomar",47,58,2780,2,528,533,22.155,0
Arcanista,aprendiz,10,"Navio Naufragado",58,58,24,0,0,4,20.500,0
Caçador,batedor,1,"Campos ao Redor de Aurelis",1,3,66,4,0,11,24.459,0
Caçador,batedor,2,"Esgotos de Aurelis",3,12,390,10,107,113,30.580,0
Caçador,batedor,3,"Florestas de Sylmere",12,21,755,5,184,190,30.597,0
Caçador,batedor,4,"Torre Arcana",21,27,671,4,153,159,30.276,0
Caçador,batedor,5,"Colinas de Kaeshin",27,32,642,2,152,157,27.886,0
Caçador,batedor,6,"Caverna de Kaeshin",32,37,716,2,173,178,29.867,0
Caçador,batedor,7,"Dunas de Zahkar",37,45,1255,2,335,340,30.228,0
Caçador,batedor,8,"Pirâmide Esquecida",45,53,1392,2,392,397,32.259,0
Caçador,batedor,9,"Costa de Ventomar",53,63,1889,2,581,586,33.758,0
Caçador,batedor,10,"Navio Naufragado",63,63,15,1,0,4,32.995,0
Infiltrador,ladino,1,"Campos ao Redor de Aurelis",1,3,71,4,0,11,24.255,0
Infiltrador,ladino,2,"Esgotos de Aurelis",3,14,662,13,167,173,30.364,0
Infiltrador,ladino,3,"Florestas de Sylmere",14,24,1279,5,266,272,26.920,0
Infiltrador,ladino,4,"Torre Arcana",24,31,1214,4,233,239,26.050,0
Infiltrador,ladino,5,"Colinas de Kaeshin",31,37,1204,2,242,247,23.362,0
Infiltrador,ladino,6,"Caverna de Kaeshin",37,43,1334,2,277,282,24.787,0
Infiltrador,ladino,7,"Dunas de Zahkar",43,51,1938,2,437,442,24.562,0
Infiltrador,ladino,8,"Pirâmide Esquecida",51,59,2112,2,490,495,26.803,0
Infiltrador,ladino,9,"Costa de Ventomar",59,70,3109,2,787,792,28.559,0
Infiltrador,ladino,10,"Navio Naufragado",70,70,18,1,0,4,27.740,0
Mercador,negociante,1,"Campos ao Redor de Aurelis",1,3,79,4,0,11,18.229,0
Mercador,negociante,2,"Esgotos de Aurelis",3,10,364,7,61,67,19.870,0
Mercador,negociante,3,"Florestas de Sylmere",10,16,613,5,77,83,17.220,0
Mercador,negociante,4,"Torre Arcana",16,21,706,4,76,82,16.386,0
Mercador,negociante,5,"Colinas de Kaeshin",21,25,688,2,74,79,14.114,0
Mercador,negociante,6,"Caverna de Kaeshin",25,30,1015,3,111,116,14.783,0
Mercador,negociante,7,"Dunas de Zahkar",30,37,1686,2,198,203,13.994,0
Mercador,negociante,8,"Pirâmide Esquecida",37,44,2006,2,236,241,14.358,0
Mercador,negociante,9,"Costa de Ventomar",44,53,3027,2,369,374,14.664,0
Mercador,negociante,10,"Navio Naufragado",53,53,38,1,0,4,13.844,0
Acólito,novico,1,"Campos ao Redor de Aurelis",1,3,73,4,0,11,18.229,0
Acólito,novico,2,"Esgotos de Aurelis",3,10,383,6,61,67,19.870,0
Acólito,novico,3,"Florestas de Sylmere",10,18,1068,6,121,127,17.220,0
Acólito,novico,4,"Torre Arcana",18,24,1262,4,118,124,14.385,0
Acólito,novico,5,"Colinas de Kaeshin",24,29,1356,2,124,129,11.921,0
Acólito,novico,6,"Caverna de Kaeshin",29,34,1645,3,145,150,12.257,0
Acólito,novico,7,"Dunas de Zahkar",34,43,3598,2,335,340,11.825,0
Acólito,novico,8,"Pirâmide Esquecida",43,51,3953,2,361,366,11.695,0
Acólito,novico,9,"Costa de Ventomar",51,63,7202,2,676,681,11.933,0
Acólito,novico,10,"Navio Naufragado",63,63,51,1,0,4,10.756,0
